;tavg__ref;pptn__ref;petn__ref;diso__ref;ddho__ref
2010-11-21-00;0.036665;0.000000;0.00146;12.000;230.000
2010-11-21-01;-0.343816;0.000000;0.00016;12.000;230.000
2010-11-21-02;-0.910929;0.000000;0.00000;12.000;230.000
2010-11-21-03;-1.222609;0.000000;0.00000;12.000;230.000
2010-11-21-04;-1.017370;0.000000;0.00000;12.000;230.000
2010-11-21-05;-0.975895;0.000000;0.00000;11.925;229.250
2010-11-21-06;-0.803364;0.000000;0.00007;11.900;229.000
2010-11-21-07;-1.079118;0.000000;0.00014;11.850;228.500
2010-11-21-08;-0.169550;0.000000;0.00118;11.525;226.000
2010-11-21-09;1.224918;0.000000;0.00784;11.050;222.000
2010-11-21-10;2.439857;0.000000;0.01537;10.800;220.000
2010-11-21-11;3.489713;0.000000;0.02206;10.775;219.750
2010-11-21-12;3.881058;0.000000;0.02466;10.700;219.000
2010-11-21-13;3.894432;0.000000;0.02468;10.600;218.500
2010-11-21-14;4.046762;0.000000;0.02565;10.500;218.000
2010-11-21-15;4.012323;0.000000;0.02544;10.500;218.000
2010-11-21-16;3.735337;0.000000;0.02380;10.475;217.750
2010-11-21-17;3.498892;0.000000;0.02232;10.225;215.250
2010-11-21-18;3.670032;0.000000;0.02353;10.200;215.000
2010-11-21-19;3.907690;0.000000;0.02512;10.325;216.250
2010-11-21-20;4.056121;0.000000;0.02604;10.500;218.000
2010-11-21-21;4.137723;0.000000;0.02653;10.550;218.250
2010-11-21-22;4.085216;0.000000;0.02607;10.700;219.000
2010-11-21-23;3.980163;0.000000;0.02536;10.700;219.000
2010-11-22-00;3.903625;0.000000;0.02723;10.700;219.000
2010-11-22-01;3.867428;0.000000;0.02699;10.700;219.000
2010-11-22-02;3.660340;0.000000;0.02519;10.700;219.000
2010-11-22-03;3.617653;0.000000;0.02486;10.600;218.500
2010-11-22-04;3.545708;0.000000;0.02439;10.600;218.500
2010-11-22-05;3.465680;0.000000;0.02377;10.700;219.000
2010-11-22-06;3.283187;0.002190;0.02253;10.700;219.000
2010-11-22-07;3.176638;0.084786;0.02173;10.700;219.000
2010-11-22-08;2.960912;0.525527;0.02015;10.700;219.000
2010-11-22-09;2.635853;1.197497;0.01786;10.700;219.000
2010-11-22-10;2.087142;0.943942;0.01411;10.650;218.750
2010-11-22-11;1.966471;0.696559;0.01335;10.775;219.750
2010-11-22-12;1.383382;0.767998;0.00944;10.800;220.000
2010-11-22-13;1.058150;0.492075;0.00728;10.800;220.000
2010-11-22-14;0.712689;0.670198;0.00512;10.925;221.250
2010-11-22-15;0.413147;0.760323;0.00331;11.475;225.500
2010-11-22-16;0.370608;0.559468;0.00297;12.000;229.750
2010-11-22-17;0.314150;0.226413;0.00269;12.925;236.750
2010-11-22-18;0.368696;0.117612;0.00299;13.500;241.500
2010-11-22-19;0.487926;0.156517;0.00362;13.925;245.000
2010-11-22-20;0.459136;0.184619;0.00346;14.425;248.750
2010-11-22-21;0.321572;0.325224;0.00270;15.250;255.000
2010-11-22-22;0.347760;0.187883;0.00287;16.100;261.250
2010-11-22-23;0.530525;0.141283;0.00393;16.575;264.750
2010-11-23-00;0.588964;0.204672;0.00300;16.725;266.000
2010-11-23-01;0.740876;0.235349;0.00365;16.975;267.750
2010-11-23-02;1.093589;0.241814;0.00549;17.100;268.500
2010-11-23-03;1.244344;0.224943;0.00625;17.350;270.250
2010-11-23-04;1.374721;0.126236;0.00697;17.675;272.500
2010-11-23-05;1.434286;0.096820;0.00727;18.000;274.750
2010-11-23-06;1.403125;0.000000;0.00710;18.275;276.750
2010-11-23-07;1.224241;0.001064;0.00625;18.525;278.250
2010-11-23-08;1.138010;0.013660;0.00580;18.600;279.000
2010-11-23-09;1.143414;0.017456;0.00583;18.900;280.750
2010-11-23-10;1.370592;0.030490;0.00697;19.125;282.250
2010-11-23-11;1.606154;0.030865;0.00817;19.200;283.000
2010-11-23-12;1.675559;0.004067;0.00850;19.200;283.000
2010-11-23-13;1.782235;0.006903;0.00904;19.000;281.500
2010-11-23-14;1.882354;0.009552;0.00960;18.600;278.750
2010-11-23-15;1.887587;0.001064;0.00963;18.300;277.000
2010-11-23-16;1.822861;0.106548;0.00933;18.200;276.000
2010-11-23-17;1.842462;0.037894;0.00951;18.050;275.250
2010-11-23-18;1.792766;0.017101;0.00922;17.850;273.750
2010-11-23-19;1.748776;0.018874;0.00901;17.500;271.250
2010-11-23-20;1.686053;0.037581;0.00870;17.000;267.750
2010-11-23-21;1.667403;0.110407;0.00861;16.225;262.250
2010-11-23-22;1.613757;0.231689;0.00829;15.900;260.000
2010-11-23-23;1.505426;0.431762;0.00768;15.900;260.000
2010-11-24-00;1.347767;0.488488;0.01061;15.900;260.000
2010-11-24-01;1.159807;0.543514;0.00908;15.800;259.000
2010-11-24-02;1.115694;0.547289;0.00880;15.700;258.500
2010-11-24-03;1.043189;0.446663;0.00816;15.550;257.500
2010-11-24-04;1.012664;0.442993;0.00785;15.475;256.750
2010-11-24-05;1.146024;0.290834;0.00905;15.300;255.500
2010-11-24-06;1.137409;0.148978;0.00899;15.200;255.000
2010-11-24-07;1.053933;0.166006;0.00826;15.200;255.000
2010-11-24-08;1.204952;0.059666;0.00944;15.200;255.000
2010-11-24-09;1.618361;0.005839;0.01283;15.250;255.250
2010-11-24-10;1.939155;0.011658;0.01585;15.825;259.250
2010-11-24-11;1.670981;0.099322;0.01371;16.250;262.500
2010-11-24-12;1.597181;0.119875;0.01301;16.450;263.750
2010-11-24-13;1.832674;0.558154;0.01470;16.500;264.000
2010-11-24-14;2.268336;0.152158;0.01980;16.500;264.000
2010-11-24-15;2.014672;0.273973;0.01629;16.500;264.000
2010-11-24-16;1.469777;0.384275;0.01136;16.500;264.000
2010-11-24-17;0.899637;0.505412;0.00712;16.500;264.000
2010-11-24-18;0.555626;0.188384;0.00478;16.600;264.750
