;tavg__ref;pptn__ref;petn__ref;diso__ref;ddho__ref
2010-12-03-13;-7.685894;0.005839;0.00000;7.827;192.000
2010-12-03-14;-7.901797;0.000000;0.00000;7.830;192.000
2010-12-03-15;-8.686803;0.000000;0.00000;7.830;192.000
2010-12-03-16;-9.475422;0.000000;0.00000;7.830;192.000
2010-12-03-17;-9.893484;0.000000;0.00000;7.830;192.000
2010-12-03-18;-10.125559;0.000000;0.00000;7.835;192.000
2010-12-03-19;-10.222860;0.000000;0.00000;7.840;192.000
2010-12-03-20;-10.056077;0.000000;0.00000;7.840;192.000
2010-12-03-21;-10.155147;0.000000;0.00000;7.840;192.000
2010-12-03-22;-10.023829;0.000000;0.00000;7.840;192.000
2010-12-03-23;-9.944431;0.000000;0.00000;7.843;192.000
2010-12-04-00;-9.910128;0.000000;0.00000;7.850;192.000
2010-12-04-01;-9.819816;0.000000;0.00000;7.850;192.000
2010-12-04-02;-9.641611;0.000000;0.00000;7.850;192.000
2010-12-04-03;-9.526525;0.000000;0.00000;7.850;192.000
2010-12-04-04;-9.386092;0.000000;0.00000;7.850;192.000
2010-12-04-05;-9.167420;0.000000;0.00000;7.860;192.000
2010-12-04-06;-8.913576;0.000000;0.00000;7.860;192.000
2010-12-04-07;-8.855048;0.000000;0.00000;7.860;192.000
2010-12-04-08;-8.441458;0.000000;0.00000;7.740;191.000
2010-12-04-09;-7.860800;0.011908;0.00000;7.658;190.250
2010-12-04-10;-7.176489;0.000000;0.00000;7.630;190.000
2010-12-04-11;-6.503437;0.000000;0.00000;7.630;190.000
2010-12-04-12;-5.994660;0.000000;0.00000;7.510;189.000
2010-12-04-13;-5.667562;0.000000;0.00000;7.520;189.000
2010-12-04-14;-5.345609;0.000000;0.00000;7.520;189.000
2010-12-04-15;-5.513470;0.002920;0.00000;7.520;189.000
2010-12-04-16;-6.152668;0.000000;0.00000;7.520;189.000
2010-12-04-17;-6.655134;0.000000;0.00000;7.520;189.000
2010-12-04-18;-7.203041;0.000000;0.00000;7.528;189.000
2010-12-04-19;-6.893366;0.000000;0.00000;7.380;187.750
2010-12-04-20;-6.792428;0.000000;0.00000;7.180;186.000
2010-12-04-21;-6.678747;0.000000;0.00000;7.180;186.000
2010-12-04-22;-6.835689;0.000000;0.00000;7.180;186.000
2010-12-04-23;-6.584181;0.000000;0.00000;7.180;186.000
2010-12-05-00;-6.163139;0.015464;0.00000;7.190;186.000
2010-12-05-01;-5.700150;0.055235;0.00000;7.190;186.000
2010-12-05-02;-5.618534;0.170250;0.00000;7.190;186.000
2010-12-05-03;-5.626593;0.005902;0.00000;7.190;186.000
2010-12-05-04;-5.735048;0.000000;0.00000;7.190;186.000
2010-12-05-05;-5.997938;0.000000;0.00000;7.197;186.000
2010-12-05-06;-6.120442;0.000000;0.00000;7.200;186.000
2010-12-05-07;-6.087306;0.000000;0.00000;7.200;186.000
2010-12-05-08;-5.967601;0.000000;0.00000;7.200;186.000
2010-12-05-09;-5.667000;0.000000;0.00000;7.145;185.500
2010-12-05-10;-5.056626;0.000000;0.00000;6.970;184.000
2010-12-05-11;-4.410438;0.000000;0.00000;6.970;184.000
2010-12-05-12;-4.140942;0.000000;0.00000;6.972;184.000
2010-12-05-13;-3.587825;0.000000;0.00000;6.980;184.000
2010-12-05-14;-3.014741;0.000000;0.00000;7.040;184.500
2010-12-05-15;-2.503150;0.000000;0.00000;7.100;185.000
2010-12-05-16;-2.293617;0.000000;0.00000;7.100;185.000
2010-12-05-17;-1.884595;0.019729;0.00000;7.100;185.000
2010-12-05-18;-1.752593;0.341846;0.00000;6.898;183.250
2010-12-05-19;-1.158246;0.623452;0.00033;7.020;184.250
2010-12-05-20;-0.552186;0.431095;0.00335;7.220;186.000
2010-12-05-21;-0.306566;0.760438;0.01231;7.230;186.000
2010-12-05-22;-0.277485;0.566590;0.01058;7.260;186.250
2010-12-05-23;-0.315898;0.167758;0.00796;7.670;189.750
2010-12-06-00;-0.455930;0.054630;0.00084;7.610;189.250
2010-12-06-01;-0.636325;0.000000;0.00011;7.582;189.000
2010-12-06-02;-1.229887;0.012722;0.00000;7.590;189.000
2010-12-06-03;-1.411043;0.000000;0.00000;7.590;189.000
2010-12-06-04;-2.040880;0.000000;0.00000;7.590;189.000
2010-12-06-05;-2.179227;0.000000;0.00000;7.590;189.000
2010-12-06-06;-1.960270;0.000000;0.00000;7.590;189.000
2010-12-06-07;-1.809963;0.000000;0.00000;7.600;189.000
2010-12-06-08;-1.599184;0.000000;0.00000;7.540;188.500
2010-12-06-09;-1.066741;0.000000;0.00000;7.480;188.000
2010-12-06-10;-0.648972;0.000000;0.00016;7.483;188.000
2010-12-06-11;-0.158307;0.015829;0.00430;7.490;188.000
2010-12-06-12;-0.095262;0.050240;0.00496;7.430;187.500
2010-12-06-13;0.013032;0.054745;0.01140;7.370;187.000
2010-12-06-14;0.073877;0.166392;0.01444;7.375;187.000
2010-12-06-15;-0.135542;0.153775;0.00447;7.380;187.000
2010-12-06-16;-0.289222;0.049552;0.00242;7.380;187.000
2010-12-06-17;-0.381310;0.051293;0.00111;7.380;187.000
2010-12-06-18;-0.379487;0.033306;0.00151;7.440;187.500
2010-12-06-19;-0.388561;0.012722;0.00132;7.500;188.000
2010-12-06-20;-0.337331;0.034828;0.00192;7.590;188.750
2010-12-06-21;-0.357035;0.028133;0.00156;7.710;189.750
2010-12-06-22;-0.295049;0.000000;0.00206;7.740;190.000
2010-12-06-23;-0.262694;0.000000;0.00214;7.740;190.000
2010-12-07-00;-0.144614;0.000000;0.00192;7.750;190.000
2010-12-07-01;-0.210108;0.112878;0.00136;7.750;190.000
2010-12-07-02;-0.048396;0.035474;0.00320;7.750;190.000
2010-12-07-03;-0.241816;0.337007;0.00123;7.750;190.000
2010-12-07-04;-0.447705;0.651460;0.00028;7.750;190.000
2010-12-07-05;-0.553591;0.560970;0.00016;7.668;189.250
2010-12-07-06;-0.553177;0.135516;0.00020;7.640;189.000
2010-12-07-07;-0.593023;0.011074;0.00018;7.613;188.750
2010-12-07-08;-0.557764;0.037789;0.00015;7.530;188.000
2010-12-07-09;-0.279548;0.000000;0.00114;7.530;188.000
2010-12-07-10;0.019381;0.020626;0.00371;7.500;187.750
2010-12-07-11;0.282168;0.000000;0.00868;7.412;187.000
2010-12-07-12;0.368320;0.000000;0.01052;7.420;187.000
2010-12-07-13;0.585208;0.000000;0.01836;7.420;187.000
2010-12-07-14;0.448805;0.000000;0.01271;7.420;187.000
2010-12-07-15;0.199593;0.000000;0.00704;7.480;187.500
2010-12-07-16;0.036565;0.000000;0.00453;7.540;188.000
2010-12-07-17;-0.004243;0.000000;0.00428;7.540;188.000
2010-12-07-18;-0.071722;0.000000;0.00403;7.545;188.000
2010-12-07-19;-0.191989;0.198050;0.00219;7.550;188.000
2010-12-07-20;-0.066150;1.481502;0.00254;7.550;188.000
2010-12-07-21;-0.164159;1.497185;0.00190;7.550;188.000
2010-12-07-22;0.050669;0.864630;0.00416;7.610;188.500
2010-12-07-23;0.123040;0.318801;0.00523;7.820;190.250
2010-12-08-00;0.153855;0.192993;0.00269;8.060;192.250
2010-12-08-01;0.266574;0.008509;0.00324;8.210;193.500
2010-12-08-02;0.392108;0.000417;0.00396;8.420;195.250
2010-12-08-03;0.595999;0.000000;0.00534;8.750;198.000
2010-12-08-04;0.550760;0.000000;0.00486;9.200;201.750
2010-12-08-05;0.582530;0.000000;0.00508;10.328;211.000
2010-12-08-06;0.423813;0.000000;0.00375;10.900;216.000
2010-12-08-07;0.631993;0.002315;0.00546;10.925;216.000
2010-12-08-08;0.874259;0.001376;0.00780;11.000;216.000
2010-12-08-09;1.064134;0.003587;0.00962;11.100;217.000
2010-12-08-10;1.297040;0.200052;0.01181;11.325;219.000
2010-12-08-11;1.754302;0.724776;0.01606;11.600;221.000
2010-12-08-12;1.769868;2.340188;0.01623;11.625;221.250
2010-12-08-13;1.890479;2.576006;0.01740;11.950;224.000
2010-12-08-14;1.907236;2.256507;0.01760;13.250;234.000
2010-12-08-15;1.775145;1.887987;0.01625;16.125;256.250
2010-12-08-16;1.457010;0.087205;0.01334;20.475;286.500
2010-12-08-17;1.157519;0.004067;0.01045;25.000;314.250
2010-12-08-18;0.683823;0.188613;0.00639;29.475;340.000
2010-12-08-19;0.424853;2.187539;0.00471;34.625;365.500
2010-12-08-20;-0.462171;3.716642;0.00113;39.025;385.000
2010-12-08-21;-1.593586;2.557247;0.00000;43.475;402.000
2010-12-08-22;-2.417272;1.739072;0.00000;47.600;415.250
2010-12-08-23;-2.812021;0.548498;0.00000;51.050;423.250
2010-12-09-00;-2.954553;0.133420;0.00000;55.350;427.000
2010-12-09-01;-3.146261;0.020897;0.00000;56.650;429.500
2010-12-09-02;-3.387367;0.000000;0.00000;57.800;431.500
2010-12-09-03;-3.630854;0.000000;0.00000;58.725;433.000
2010-12-09-04;-3.579348;0.000000;0.00000;59.700;434.500
2010-12-09-05;-3.506734;0.000000;0.00000;60.975;436.250
2010-12-09-06;-3.394892;0.036913;0.00000;61.725;437.250
2010-12-09-07;-3.188526;0.024609;0.00000;62.350;438.000
2010-12-09-08;-2.841374;0.075370;0.00000;62.200;438.000
2010-12-09-09;-2.398013;0.045109;0.00000;62.200;438.000
2010-12-09-10;-1.863181;0.002690;0.00000;62.300;438.000
2010-12-09-11;-1.543611;0.049281;0.00000;61.800;437.500
2010-12-09-12;-1.246612;0.302367;0.00000;60.950;436.500
2010-12-09-13;-1.076696;0.246486;0.00000;60.075;435.250
2010-12-09-14;-0.898481;0.039301;0.00017;59.375;434.250
2010-12-09-15;-1.120017;0.034161;0.00000;57.400;431.000
2010-12-09-16;-1.134035;0.034724;0.00000;55.925;428.250
2010-12-09-17;-1.156309;0.017101;0.00000;51.525;424.500
2010-12-09-18;-1.265223;0.183306;0.00000;49.625;420.500
2010-12-09-19;-1.545527;0.196674;0.00000;48.000;416.500
2010-12-09-20;-1.560636;0.320959;0.00000;46.450;411.750
2010-12-09-21;-2.085445;0.023775;0.00000;45.150;407.500
2010-12-09-22;-1.577564;0.000000;0.00000;43.800;403.000
2010-12-09-23;-1.514955;0.020626;0.00000;42.400;398.000
2010-12-10-00;-1.529302;0.102388;0.00000;40.325;390.000
2010-12-10-01;-1.577006;0.098498;0.00000;38.050;380.500
2010-12-10-02;-1.510996;0.060574;0.00000;35.825;370.750
2010-12-10-03;-1.557850;0.040730;0.00000;33.875;361.750
2010-12-10-04;-2.111390;0.000000;0.00000;32.175;353.500
2010-12-10-05;-2.627076;0.000000;0.00000;30.700;346.000
2010-12-10-06;-2.963854;0.000000;0.00000;29.250;338.500
2010-12-10-07;-3.580695;0.032117;0.00000;28.000;331.500
2010-12-10-08;-3.965319;0.000000;0.00000;26.950;325.500
2010-12-10-09;-3.982023;0.000000;0.00000;26.125;320.500
2010-12-10-10;-2.842574;0.036767;0.00000;25.350;316.000
2010-12-10-11;-2.156902;0.021522;0.00000;25.200;315.000
2010-12-10-12;-2.075021;0.002690;0.00000;25.025;314.000
2010-12-10-13;-1.971901;0.010094;0.00000;24.650;311.750
2010-12-10-14;-1.578152;0.000000;0.00000;24.075;308.250
2010-12-10-15;-1.879480;0.000000;0.00000;23.300;303.500
2010-12-10-16;-2.107395;0.000000;0.00000;22.575;299.000
2010-12-10-17;-2.174094;0.001064;0.00000;22.000;295.500
2010-12-10-18;-1.974759;0.000000;0.00000;21.600;293.000
2010-12-10-19;-1.741327;0.094859;0.00000;21.600;293.000
2010-12-10-20;-1.478158;0.203389;0.00000;21.600;293.000
2010-12-10-21;-1.264437;0.323045;0.00000;21.600;293.000
2010-12-10-22;-1.023616;0.638822;0.00000;21.425;292.000
2010-12-10-23;-0.574375;0.390156;0.00734;21.075;289.750
2010-12-11-00;-0.172303;0.355787;0.00081;21.000;289.000
2010-12-11-01;-0.015758;0.808415;0.00118;20.275;284.250
2010-12-11-02;-0.070896;1.378040;0.00084;19.700;281.000
2010-12-11-03;-0.047147;1.510865;0.00092;19.650;280.500
2010-12-11-04;-0.007517;1.117216;0.00109;19.600;280.000
2010-12-11-05;0.164523;0.588853;0.00180;19.600;280.000
2010-12-11-06;0.505303;0.432888;0.00323;19.425;279.000
2010-12-11-07;0.841971;0.234672;0.00498;19.500;279.000
2010-12-11-08;1.089023;0.300647;0.00637;19.350;278.250
2010-12-11-09;1.419162;0.259666;0.00834;19.300;278.000
2010-12-11-10;1.614340;0.188279;0.00954;19.050;276.250
2010-12-11-11;1.784102;0.349802;0.01065;19.000;276.000
2010-12-11-12;1.923595;0.362419;0.01147;19.425;278.500
2010-12-11-13;2.047947;0.218498;0.01227;19.525;279.250
2010-12-11-14;2.043818;0.219030;0.01220;19.925;282.000
2010-12-11-15;2.077531;0.215422;0.01242;20.625;286.500
2010-12-11-16;2.127605;0.153587;0.01296;22.125;296.000
2010-12-11-17;1.982812;0.564526;0.01183;24.625;311.250
2010-12-11-18;1.937166;0.444849;0.01179;25.850;318.500
2010-12-11-19;1.946551;0.548863;0.01154;27.175;326.250
2010-12-11-20;1.804109;0.573066;0.01071;29.050;337.000
2010-12-11-21;1.755820;0.393900;0.01039;31.300;348.500
2010-12-11-22;1.753586;0.193514;0.01043;33.825;361.000
2010-12-11-23;1.763691;0.081043;0.01049;36.750;374.500
2010-12-12-00;1.777476;0.203556;0.01474;39.250;385.000
2010-12-12-01;1.528443;0.356601;0.01244;41.450;394.000
2010-12-12-02;1.496778;0.382534;0.01182;43.900;403.000
2010-12-12-03;1.527305;0.513034;0.01220;46.000;410.000
2010-12-12-04;1.329551;0.786496;0.01034;47.500;414.500
2010-12-12-05;1.060427;0.447581;0.00820;48.925;418.500
2010-12-12-06;1.029636;0.032847;0.00794;50.525;422.000
2010-12-12-07;1.022545;0.051794;0.00788;51.750;424.500
2010-12-12-08;0.811091;0.011199;0.00617;54.050;426.500
2010-12-12-09;0.907135;0.044609;0.00689;56.100;428.000
2010-12-12-10;1.002368;0.239208;0.00759;56.100;428.000
2010-12-12-11;1.178068;0.049520;0.00898;56.700;429.000
2010-12-12-12;1.367261;0.044609;0.01039;57.075;429.750
2010-12-12-13;1.425111;0.024150;0.01082;57.500;430.500
2010-12-12-14;1.343575;0.034703;0.01027;58.250;431.750
2010-12-12-15;0.937236;0.067842;0.00728;58.850;432.750
2010-12-12-16;0.671178;0.081095;0.00554;59.450;433.750
2010-12-12-17;0.511407;0.065589;0.00454;59.600;434.000
2010-12-12-18;0.247805;0.060375;0.00308;59.600;434.000
2010-12-12-19;-0.127935;0.061564;0.00150;59.600;434.000
2010-12-12-20;-0.377101;0.029114;0.00068;59.675;434.000
2010-12-12-21;-0.853583;0.030198;0.00012;59.525;433.750
2010-12-12-22;-1.896453;0.146058;0.00000;59.000;433.000
2010-12-12-23;-3.214236;0.004067;0.00000;59.000;433.000
2010-12-13-00;-3.740422;0.013660;0.00000;58.600;432.500
2010-12-13-01;-4.524707;0.000000;0.00000;58.125;431.750
2010-12-13-02;-4.990236;0.000000;0.00000;57.900;431.000
2010-12-13-03;-5.413795;0.000000;0.00000;57.300;430.000
2010-12-13-04;-5.954846;0.000000;0.00000;56.425;428.250
2010-12-13-05;-6.282125;0.000000;0.00000;55.125;427.000
2010-12-13-06;-6.654130;0.000000;0.00000;51.725;424.250
2010-12-13-07;-7.296801;0.012409;0.00000;50.400;421.500
2010-12-13-08;-7.689173;0.000000;0.00000;48.925;418.250
2010-12-13-09;-7.030231;0.000000;0.00000;47.600;414.500
2010-12-13-10;-6.099881;0.000000;0.00000;46.600;411.500
2010-12-13-11;-5.468135;0.001418;0.00000;45.575;408.250
2010-12-13-12;-5.026291;0.002920;0.00000;44.750;405.500
2010-12-13-13;-4.917881;0.000000;0.00000;43.525;401.250
2010-12-13-14;-4.943418;0.000000;0.00000;42.525;397.500
2010-12-13-15;-5.059797;0.000000;0.00000;41.400;393.250
2010-12-13-16;-5.243144;0.041606;0.00000;40.000;387.500
2010-12-13-17;-5.447898;0.080428;0.00000;38.350;380.750
2010-12-13-18;-5.601187;0.128780;0.00000;36.950;374.750
2010-12-13-19;-5.906938;0.067904;0.00000;35.350;367.500
2010-12-13-20;-6.329670;0.020459;0.00000;33.950;361.000
2010-12-13-21;-6.831637;0.002920;0.00000;32.650;354.750
2010-12-13-22;-7.214179;0.009906;0.00000;30.950;346.250
2010-12-13-23;-7.338543;0.004067;0.00000;29.325;337.750
2010-12-14-00;-7.660031;0.000000;0.00000;28.225;331.750
2010-12-14-01;-8.201689;0.000000;0.00000;27.350;326.500
2010-12-14-02;-8.396399;0.000000;0.00000;26.475;321.500
2010-12-14-03;-8.901653;0.000000;0.00000;25.550;316.000
2010-12-14-04;-9.148844;0.000000;0.00000;25.000;312.500
2010-12-14-05;-9.092982;0.000000;0.00000;24.550;310.000
2010-12-14-06;-8.761115;0.000000;0.00000;23.900;306.000
2010-12-14-07;-8.581641;0.022941;0.00000;23.550;304.000
2010-12-14-08;-8.301920;0.004108;0.00000;22.850;299.750
2010-12-14-09;-7.529387;0.000000;0.00000;22.375;296.750
2010-12-14-10;-6.470219;0.000000;0.00000;21.825;293.250
2010-12-14-11;-5.846736;0.000000;0.00000;21.550;291.500
2010-12-14-12;-5.066575;0.046131;0.00000;20.600;285.500
2010-12-14-13;-4.620069;0.062148;0.00000;20.175;282.750
2010-12-14-14;-4.373032;0.076976;0.00000;20.000;281.500
2010-12-14-15;-4.432343;0.011324;0.00000;19.850;280.500
2010-12-14-16;-4.560089;0.000000;0.00000;19.800;280.000
2010-12-14-17;-4.461386;0.000000;0.00000;19.800;280.000
2010-12-14-18;-4.690182;0.000000;0.00000;19.425;277.750
2010-12-14-19;-4.807128;0.000000;0.00000;19.175;276.000
2010-12-14-20;-5.034445;0.000000;0.00000;18.725;273.000
2010-12-14-21;-5.192005;0.000000;0.00000;18.375;270.750
2010-12-14-22;-5.336643;0.000000;0.00000;18.075;268.500
2010-12-14-23;-5.481269;0.025297;0.00000;17.350;263.500
2010-12-15-00;-5.615273;0.022899;0.00000;17.250;262.500
2010-12-15-01;-5.791504;0.002440;0.00000;17.150;261.750
2010-12-15-02;-5.899436;0.000000;0.00000;17.000;261.000
2010-12-15-03;-5.959469;0.005902;0.00000;16.900;260.000
2010-12-15-04;-6.032675;0.010094;0.00000;16.800;259.000
2010-12-15-05;-6.154367;0.000000;0.00000;16.700;258.500
2010-12-15-06;-6.231516;0.055433;0.00000;16.600;258.000
2010-12-15-07;-6.413087;0.124088;0.00000;16.550;257.500
2010-12-15-08;-6.342382;0.142565;0.00000;16.250;255.000
2010-12-15-09;-6.269955;0.084025;0.00000;15.900;252.000
2010-12-15-10;-5.919517;0.072805;0.00000;15.900;252.000
2010-12-15-11;-5.508810;0.068926;0.00000;15.900;252.000
2010-12-15-12;-5.166374;0.026486;0.00000;15.850;251.750
2010-12-15-13;-5.045215;0.015954;0.00000;15.700;251.000
2010-12-15-14;-5.194961;0.016079;0.00000;15.625;250.250
2010-12-15-15;-5.377011;0.002482;0.00000;15.500;249.000
2010-12-15-16;-5.557040;0.004067;0.00000;15.425;248.250
2010-12-15-17;-5.749123;0.010532;0.00000;15.150;246.500
2010-12-15-18;-6.072881;0.000000;0.00000;14.500;241.250
2010-12-15-19;-6.302892;0.000000;0.00000;14.200;239.000
2010-12-15-20;-6.458589;0.001064;0.00000;14.200;239.000
2010-12-15-21;-6.742929;0.002920;0.00000;14.200;239.000
2010-12-15-22;-7.034597;0.000000;0.00000;14.200;239.000
2010-12-15-23;-7.628328;0.000000;0.00000;14.200;239.000
2010-12-16-00;-8.191817;0.000000;0.00000;14.200;239.000
2010-12-16-01;-8.737962;0.004067;0.00000;14.400;240.000
2010-12-16-02;-9.164627;0.000000;0.00000;14.400;240.000
2010-12-16-03;-9.590404;0.000000;0.00000;14.400;240.000
2010-12-16-04;-9.697304;0.000000;0.00000;14.400;240.000
2010-12-16-05;-9.659520;0.000000;0.00000;14.250;239.250
2010-12-16-06;-9.198830;0.000000;0.00000;14.175;238.750
2010-12-16-07;-8.850653;0.001064;0.00000;14.100;238.000
2010-12-16-08;-8.345098;0.000000;0.00000;14.000;237.000
2010-12-16-09;-8.113702;0.000000;0.00000;14.000;237.000
2010-12-16-10;-7.728864;0.012430;0.00000;14.000;237.000
2010-12-16-11;-7.167190;0.000000;0.00000;14.000;237.000
2010-12-16-12;-6.522011;0.010542;0.00000;13.950;236.500
2010-12-16-13;-5.970432;0.011470;0.00000;13.300;231.750
2010-12-16-14;-5.563359;0.001418;0.00000;12.800;228.000
2010-12-16-15;-5.415878;0.000000;0.00000;12.825;228.000
2010-12-16-16;-5.481627;0.000000;0.00000;12.975;228.750
2010-12-16-17;-5.546819;0.000000;0.00000;13.025;229.250
2010-12-16-18;-5.644993;0.111825;0.00000;13.100;230.000
2010-12-16-19;-5.650459;0.453597;0.00000;13.050;229.500
2010-12-16-20;-5.624579;0.592158;0.00000;12.875;228.000
2010-12-16-21;-5.501179;0.954922;0.00000;12.700;227.000
2010-12-16-22;-5.308650;1.062242;0.00000;12.700;227.000
2010-12-16-23;-5.079904;1.566423;0.00000;12.700;227.000
2010-12-17-00;-4.886991;0.906361;0.00000;12.700;227.000
2010-12-17-01;-4.715356;0.541595;0.00000;12.700;227.000
2010-12-17-02;-4.521263;0.375506;0.00000;12.700;227.000
2010-12-17-03;-4.411573;0.370688;0.00000;12.700;227.000
2010-12-17-04;-4.465936;0.455412;0.00000;12.700;227.000
2010-12-17-05;-4.587173;0.433201;0.00000;12.800;227.000
2010-12-17-06;-4.706340;0.284849;0.00000;12.800;227.000
2010-12-17-07;-4.758454;0.246038;0.00000;12.800;227.000
2010-12-17-08;-4.858296;0.199760;0.00000;12.800;227.000
2010-12-17-09;-4.783937;0.097508;0.00000;12.800;227.000
2010-12-17-10;-4.808557;0.070782;0.00000;12.800;227.000
2010-12-17-11;-4.344387;0.043962;0.00000;12.800;227.000
2010-12-17-12;-4.044754;0.029823;0.00000;12.800;227.000
2010-12-17-13;-3.924802;0.007883;0.00000;12.800;227.000
2010-12-17-14;-4.012914;0.104609;0.00000;12.800;227.000
2010-12-17-15;-4.289418;0.000000;0.00000;12.800;227.000
2010-12-17-16;-4.702460;0.000000;0.00000;12.800;227.000
2010-12-17-17;-5.020217;0.000000;0.00000;12.800;227.000
2010-12-17-18;-5.645102;0.000000;0.00000;12.100;221.750
2010-12-17-19;-5.984167;0.000000;0.00000;11.975;220.750
2010-12-17-20;-6.314850;0.000000;0.00000;12.100;221.750
2010-12-17-21;-6.498379;0.000000;0.00000;12.475;224.750
2010-12-17-22;-6.557064;0.009698;0.00000;12.500;225.000
2010-12-17-23;-6.969233;0.075235;0.00000;12.500;225.000
2010-12-18-00;-7.414911;0.026788;0.00000;12.500;225.000
2010-12-18-01;-7.400840;0.015808;0.00000;12.500;225.000
2010-12-18-02;-7.296158;0.001376;0.00000;12.500;225.000
2010-12-18-03;-7.257800;0.001376;0.00000;12.375;223.750
2010-12-18-04;-7.610031;0.000000;0.00000;12.200;222.000
2010-12-18-05;-7.858633;0.000000;0.00000;12.200;222.000
2010-12-18-06;-7.830356;0.004067;0.00000;12.200;222.000
2010-12-18-07;-8.043983;0.000000;0.00000;12.200;222.000
2010-12-18-08;-7.911223;0.001376;0.00000;12.200;222.000
2010-12-18-09;-7.506830;0.012784;0.00000;12.200;222.000
2010-12-18-10;-7.009956;0.036976;0.00000;12.200;222.000
2010-12-18-11;-6.498801;0.215130;0.00000;12.125;221.250
2010-12-18-12;-5.991589;0.187153;0.00000;12.000;220.500
2010-12-18-13;-5.750720;0.015933;0.00000;11.900;220.000
2010-12-18-14;-5.622165;0.004797;0.00000;11.900;220.000
2010-12-18-15;-5.843366;0.001835;0.00000;11.775;218.750
2010-12-18-16;-6.276788;0.000000;0.00000;11.700;218.000
2010-12-18-17;-6.513392;0.000000;0.00000;11.700;218.000
2010-12-18-18;-7.397563;0.013764;0.00000;11.700;218.000
2010-12-18-19;-8.573180;0.003212;0.00000;11.700;218.000
2010-12-18-20;-9.902050;0.000000;0.00000;11.500;216.500
2010-12-18-21;-9.516004;0.006423;0.00000;11.300;215.000
2010-12-18-22;-8.822361;0.022482;0.00000;11.300;215.000
2010-12-18-23;-8.974048;0.001376;0.00000;11.300;215.000
2010-12-19-00;-9.025659;0.000000;0.00000;11.300;215.000
2010-12-19-01;-8.771653;0.000000;0.00000;11.300;215.000
2010-12-19-02;-7.997149;0.013306;0.00000;11.300;215.000
2010-12-19-03;-7.001584;0.030928;0.00000;11.225;214.250
2010-12-19-04;-6.551502;0.712430;0.00000;11.100;213.000
2010-12-19-05;-6.165886;0.853358;0.00000;11.100;213.000
2010-12-19-06;-5.566515;0.267320;0.00000;10.850;211.250
2010-12-19-07;-5.064104;0.000000;0.00000;10.800;211.000
2010-12-19-08;-4.529247;0.000000;0.00000;10.800;211.000
2010-12-19-09;-3.837099;0.048770;0.00000;10.800;211.000
2010-12-19-10;-3.032706;0.033045;0.00000;10.850;211.000
2010-12-19-11;-2.190723;0.009489;0.00000;10.700;209.750
2010-12-19-12;-2.008200;0.000000;0.00000;10.600;209.000
2010-12-19-13;-1.789323;0.000000;0.00000;10.600;209.000
2010-12-19-14;-1.625181;0.009864;0.00000;10.600;209.000
2010-12-19-15;-1.754436;0.149864;0.00000;10.600;209.000
2010-12-19-16;-1.678651;0.493775;0.00000;10.600;209.000
2010-12-19-17;-1.572227;0.808895;0.00000;10.600;209.000
2010-12-19-18;-1.112715;0.347570;0.00017;10.600;209.000
2010-12-19-19;-1.086785;0.638530;0.00064;10.600;209.000
2010-12-19-20;-0.851262;1.170167;0.00070;10.775;210.250
2010-12-19-21;-0.015520;1.362982;0.01514;11.000;212.000
2010-12-19-22;0.425144;0.499979;0.03231;11.000;212.000
2010-12-19-23;0.955922;0.265401;0.06267;11.000;212.000
2010-12-20-00;1.796261;0.179353;0.03212;11.000;212.000
2010-12-20-01;2.563524;0.273055;0.04724;11.000;212.000
2010-12-20-02;2.282805;0.996413;0.04176;11.000;212.000
2010-12-20-03;2.302463;0.088655;0.04211;11.000;212.000
2010-12-20-04;1.164157;0.065516;0.02144;11.000;212.000
2010-12-20-05;0.155878;0.000000;0.00637;11.000;212.000
2010-12-20-06;-0.875225;0.000000;0.00009;11.000;212.000
2010-12-20-07;-1.460774;0.000000;0.00000;11.000;212.000
2010-12-20-08;-1.758862;0.026945;0.00000;11.400;215.250
2010-12-20-09;-1.918256;0.000000;0.00000;11.750;217.750
2010-12-20-10;-2.118397;0.000000;0.00000;12.075;220.750
2010-12-20-11;-1.983712;0.000000;0.00000;12.100;221.000
2010-12-20-12;-1.685462;0.000000;0.00000;12.275;221.750
2010-12-20-13;-1.767680;0.000000;0.00000;12.300;222.000
2010-12-20-14;-2.090612;0.333274;0.00000;12.300;222.000
2010-12-20-15;-2.345721;0.504953;0.00000;12.200;221.000
2010-12-20-16;-2.513128;0.428269;0.00000;12.300;222.000
2010-12-20-17;-2.801720;0.090448;0.00000;12.100;220.500
2010-12-20-18;-3.401511;0.000000;0.00000;12.000;220.000
2010-12-20-19;-4.140765;0.000000;0.00000;12.200;221.000
2010-12-20-20;-4.861653;0.000000;0.00000;12.050;220.250
2010-12-20-21;-5.054343;0.000000;0.00000;11.950;219.500
2010-12-20-22;-5.123690;0.000000;0.00000;11.675;217.250
2010-12-20-23;-5.101979;0.000000;0.00000;11.550;216.000
2010-12-21-00;-5.163799;0.000000;0.00000;11.600;216.000
2010-12-21-01;-5.169987;0.000000;0.00000;11.600;216.000
2010-12-21-02;-4.898300;0.000000;0.00000;11.600;216.000
2010-12-21-03;-4.472131;0.000000;0.00000;11.600;216.000
2010-12-21-04;-3.973933;0.076705;0.00000;11.600;216.000
2010-12-21-05;-3.558024;0.474421;0.00000;11.600;216.000
