series_id,mean_abs_rel_change,ofv_reference_params,ofv_recalibrated,recalib_snw_dth,recalib_snw_att,recalib_snw_pmf,recalib_snw_amf,recalib_sl0_dth,recalib_sl0_pwp,recalib_sl0_fcy,recalib_sl0_bt0,recalib_urr_dth,recalib_lrr_dth,recalib_urr_wsr,recalib_urr_ulc,recalib_urr_tdh,recalib_urr_tdr,recalib_urr_ndr,recalib_urr_uct,recalib_lrr_dre,recalib_lrr_lct
1084,0.15267576,0.23183180391788483,0.22426581382751465,0.0,-0.0075126537,0.4257787,0.01715334,85.16548,101.83786,134.18771,3.183041,2.3089426,0.37517115,0.9997762,0.13697712,165.93385,0.43618554,1.5731358e-07,0.0018359424,0.0113164475,0.0003086026
1085,0.15205683,0.24092459678649902,0.2242806851863861,0.0,-0.0069993674,0.4030155,0.01764889,99.51633,95.43274,145.87581,3.7019827,1.8119584,0.8823977,0.9994221,0.11288296,28.953035,0.44122225,2.6852197e-08,0.00021106037,0.011838815,0.0005226479
1086,0.15597932,0.23330198228359222,0.23154757916927338,0.0,-0.0060597286,0.47039947,0.05378113,99.355705,494.06882,160.56326,3.113657,1.5821636,1.4999361,0.9997835,0.1715962,17.435942,0.31454283,1.8837282e-08,1.605813e-05,0.009506432,5.139045e-07
1087,0.15787207,0.24247939884662628,0.22302508354187012,0.0,-0.007225839,0.4048336,0.017588284,99.49926,118.26632,147.37975,3.6007597,2.42194,0.48368692,0.99982536,0.11603529,63.519573,0.79162645,1.8818585e-07,0.0033065374,0.011404934,8.685639e-05
1088,0.15365474,0.22771723568439484,0.22365401685237885,0.0,0.6722512,0.91461295,0.06545673,96.66989,698.7739,149.34079,3.2726753,2.0649045,1.1639392,0.99003035,0.171228,24.935318,0.17687894,3.4076204e-06,1.9511821e-05,0.007957501,2.8207663e-07
1089,0.15186635,0.2353881448507309,0.23402565717697144,0.0,-0.0062218173,0.4477558,0.06109271,99.48735,627.10864,161.7324,3.0581741,2.8217318,0.44434497,0.99806833,0.18378933,14.345587,0.046053354,7.875134e-06,2.3012522e-05,0.009228465,4.1145677e-07
1090,0.15282728,0.25866493582725525,0.24381761252880096,0.0,-0.0075131184,0.4072072,0.017556675,66.81108,87.10291,113.21221,2.6153388,1.9083041,1.0272909,0.9998612,0.10967852,36.990067,0.30639446,4.8507466e-08,0.0060589616,0.010678761,4.9138514e-05
1091,0.15556276,0.2341701090335846,0.23342859745025635,0.0,0.08941534,0.6035395,0.032649506,99.930275,698.6007,159.90399,3.1913679,2.7097795,0.69601387,0.9999469,0.19745731,62.33522,0.45352253,9.6250304e-08,6.135262e-07,0.008802763,1.5551892e-08
1092,0.15497106,0.25717970728874207,0.25508010387420654,0.0,0.9560031,1.3130175,0.07674089,78.542,696.81946,129.5895,2.7188666,2.724308,1.0124085,0.9999888,0.18484601,102.392525,0.8420698,1.1620868e-07,4.740008e-06,0.00687513,9.189996e-08
1093,0.15836047,0.24270741641521454,0.23165708780288696,0.0,-0.006652571,0.42657018,0.01642033,79.82399,43.46795,124.68112,3.1237679,0.99833965,1.9285852,0.9995467,0.15098682,16.503462,0.5680949,4.47944e-06,0.0028516818,0.010242657,0.00025335277
1094,0.15852462,0.2451404482126236,0.2462412714958191,0.0,0.5402448,0.8335608,0.056330457,90.124954,669.9815,142.60545,3.1638896,1.2579784,2.1165876,0.9963585,0.16864035,24.450035,0.16577885,8.7648596e-07,2.1706071e-05,0.0077359993,6.189624e-08
1095,0.15850669,0.2522617280483246,0.24910037219524384,0.0,-0.007289081,0.43921247,0.016975679,97.07318,109.77184,143.86745,3.4811769,2.4788094,0.28857216,0.99939454,0.14832641,16.669044,0.3645456,2.2548843e-06,0.005691207,0.010896309,6.689045e-05
1096,0.15445219,0.24720321595668793,0.23821990191936493,0.0,-0.007514005,0.42165262,0.016652081,98.88117,118.87189,146.00343,3.613092,2.0324306,0.8778195,0.9995151,0.13391006,41.45771,0.8690273,7.9614125e-08,0.006303019,0.010839886,3.3039156e-05
1097,0.15421459,0.2513648569583893,0.23338282108306885,0.0,-0.007447135,0.39860624,0.01892375,99.151344,118.37181,146.1714,3.5974808,2.241006,0.56989175,0.9997744,0.13594939,99.64452,0.66275764,6.86317e-08,0.005874219,0.011028429,0.00013572988
1098,0.15711343,0.23877352476119995,0.238687202334404,0.0,0.5115654,0.7649082,0.05753324,99.71475,698.1426,151.49606,3.253682,2.0613556,1.6970463,0.9998711,0.16627686,51.114735,0.20042859,1.18228325e-08,1.5437076e-06,0.0073004724,2.4936476e-08
1099,0.15500209,0.23608125746250153,0.23320737481117249,0.0,-0.006637951,0.46329686,0.054185517,99.85934,338.14648,159.56711,3.1586072,2.6298807,0.31167802,0.9987495,0.19162682,71.746864,0.36098132,2.575273e-06,2.5146466e-05,0.009604241,4.7941353e-07
1100,0.15707989,0.24351398646831512,0.24414275586605072,0.0,0.5455264,0.85401297,0.054804735,99.983406,699.66864,152.56342,3.302057,2.1333392,1.5885544,0.999948,0.18067826,51.90168,0.5889447,1.0203054e-07,1.1330462e-07,0.007314634,3.0672233e-08
1101,0.15777792,0.25877323746681213,0.2603507339954376,0.0,0.6744662,1.0046426,0.061710943,99.8531,699.38654,152.48448,3.2853467,2.8362982,1.0472034,0.9999293,0.193967,133.97115,0.94868463,3.908269e-07,3.4976544e-08,0.007089334,1.0696509e-07
1102,0.1559634,0.23625218868255615,0.23482370376586914,0.0,0.089377314,0.58603126,0.033152837,99.7515,674.83545,159.27875,3.083745,2.53668,0.8370868,0.99941564,0.20787884,55.767387,0.2701626,5.17811e-07,6.1779446e-07,0.008413581,3.2834674e-08
1103,0.15281144,0.2155541181564331,0.2079823762178421,0.0,-0.007275789,0.4522361,0.019124037,90.752235,44.86,143.23303,2.8705838,1.4516808,1.3425134,0.98870283,0.14390327,13.907699,0.012105832,4.9149335e-06,0.00018455747,0.01006908,1.2949232e-06
1104,0.16033074,0.229155033826828,0.2265552133321762,0.0,0.5405839,0.7741618,0.06265372,98.517975,697.8927,151.33893,3.3205981,3.0020206,0.5283215,0.99979323,0.18009135,39.498684,0.28364775,3.3880713e-08,8.856249e-06,0.008025763,1.0789896e-09
1105,0.15382119,0.22819288074970245,0.2218809276819229,0.0,-0.006979362,0.43683946,0.017266147,85.624016,107.31524,135.85442,2.99843,2.6390765,0.21231303,0.99989307,0.148109,122.83621,0.057465788,3.3613676e-07,3.1120715e-05,0.010977646,0.00035405514
1106,0.15722544,0.24430972337722778,0.23355551064014435,0.0,-0.0074914056,0.42756096,0.019217141,85.89982,106.71127,137.00377,2.9321668,2.0356867,0.90977174,0.9996126,0.14331172,64.12814,0.5277346,5.4136683e-07,0.0023692716,0.010224361,5.360925e-05
1107,0.15519015,0.2479260265827179,0.23218925297260284,0.0,-0.0062493263,0.416944,0.019315802,98.4968,96.54441,146.94809,3.347538,2.263394,0.50987947,0.9984746,0.13239504,14.718303,0.072674565,7.3113083e-06,0.0030273066,0.011223048,8.8408015e-05
1108,0.15403382,0.24893011152744293,0.2305067479610443,0.0,-0.007431589,0.39008304,0.017528117,99.85734,123.669106,142.94414,4.01752,2.1911461,0.54657793,0.9989084,0.12949267,49.765476,0.605491,2.3646487e-07,0.006371423,0.011209642,0.000319706
1109,0.15300156,0.23457540571689606,0.2342659831047058,0.0,-0.0055031325,0.5527054,0.036567524,99.77325,38.59045,154.0189,3.0358517,2.1289697,1.0113431,0.99982005,0.19303595,128.06764,0.74822927,7.6803394e-07,2.3961113e-06,0.009078696,9.562023e-09
1110,0.15338826,0.24392102658748627,0.2249467670917511,0.0,-0.010131927,0.017583437,0.09470931,99.944954,223.65167,140.06866,5.4326043,2.8860433,0.25141656,0.9995505,0.16236854,180.18182,0.19295803,2.5803016e-07,0.005927954,0.011558476,0.0008923238
1111,0.15676518,0.23823535442352295,0.22337982058525085,0.0,-0.007551829,0.40196308,0.017263826,97.566315,24.876118,139.43611,3.888098,1.9165512,0.81535524,0.9999153,0.15283386,15.9391775,0.26503432,9.1496173e-07,0.0042223055,0.010069538,0.00034004255
1112,0.15462598,0.24612534046173096,0.24425183236598969,0.0,0.5401089,0.83998704,0.061206188,97.27948,695.1719,149.67136,3.405351,1.9133005,1.3686005,0.99985206,0.1577826,108.03748,0.60577315,1.0062503e-07,1.5169122e-06,0.008358425,7.8895084e-08
1113,0.1565866,0.23151560127735138,0.23410853743553162,0.0,0.54333913,0.8567082,0.05648794,99.98126,695.6457,152.67313,3.2127597,2.310838,1.3435079,0.999894,0.18853827,42.64289,0.46329054,9.828963e-07,5.8333057e-08,0.00726073,1.8166217e-08
1114,0.1529685,0.24100199341773987,0.24016624689102173,0.0,-0.005513183,0.53005385,0.03901825,99.95242,693.69104,162.40178,3.0992699,2.1774042,1.1427441,0.9999609,0.19131169,184.20049,0.7859188,7.9584635e-07,8.081374e-07,0.008689451,4.1061504e-08
1115,0.15874259,0.24430350959300995,0.2285461574792862,0.0,-0.005999955,0.409147,0.017398866,95.187965,109.60282,140.2269,3.69734,2.1721935,0.63639975,0.99287635,0.13009302,17.106966,0.4574926,2.6440424e-05,0.0040360386,0.0119652795,0.00018166752
