generation,n_eval,obj_min,obj_median,obj_max,best_obj_in_generation
1,180,1.8013092279434204,31.654577255249023,346.5155944824219,1.8013092279434204
2,180,1.6979738473892212,7.835724353790283,323.65667724609375,1.6979738473892212
3,180,1.6942155361175537,4.193382263183594,167.40499877929688,1.6942155361175537
4,180,1.6680289506912231,3.080576181411743,224.14468383789062,1.6680289506912231
5,180,1.6427383422851562,3.295371890068054,234.84251403808594,1.6427383422851562
6,180,1.6209150552749634,3.4552942514419556,97.57378387451172,1.6209150552749634
7,180,1.647425889968872,4.371338844299316,156.48599243164062,1.647425889968872
8,180,1.6099321842193604,3.4224014282226562,232.50762939453125,1.6099321842193604
9,180,1.6105247735977173,3.631852388381958,260.74139404296875,1.6105247735977173
10,180,1.489527702331543,3.2078574895858765,385.6021423339844,1.489527702331543
11,180,1.5869860649108887,2.541466236114502,141.2379150390625,1.5869860649108887
12,180,1.512108564376831,2.54486620426178,113.07884979248047,1.512108564376831
13,180,1.6382484436035156,2.516375780105591,141.29061889648438,1.6382484436035156
14,180,1.512458086013794,2.248369336128235,219.44784545898438,1.512458086013794
15,180,1.461051106452942,2.401155948638916,241.8397674560547,1.461051106452942
16,180,1.4494826793670654,2.3115628957748413,178.40646362304688,1.4494826793670654
17,180,1.5124518871307373,2.1682066917419434,52.412593841552734,1.5124518871307373
18,180,1.4979058504104614,2.1016392707824707,67.73577880859375,1.4979058504104614
19,180,1.6286948919296265,1.8948848843574524,48.909427642822266,1.6286948919296265
20,180,1.4405028820037842,1.9808526635169983,78.85242462158203,1.4405028820037842
21,180,1.4730981588363647,2.009010434150696,50.921627044677734,1.4730981588363647
22,180,1.3450671434402466,2.4037219285964966,69.94664001464844,1.3450671434402466
23,180,1.459766149520874,2.3054014444351196,182.52008056640625,1.459766149520874
24,180,1.3347760438919067,2.0669065713882446,43.076026916503906,1.3347760438919067
25,180,1.2547942399978638,2.0041762590408325,27.201562881469727,1.2547942399978638
26,180,1.3981813192367554,2.003076672554016,83.74420166015625,1.3981813192367554
27,180,1.3381866216659546,2.1240439414978027,49.14997100830078,1.3381866216659546
28,180,1.5161913633346558,2.0500097274780273,37.95104217529297,1.5161913633346558
29,180,0.9520649909973145,1.9571632742881775,17.4428768157959,0.9520649909973145
30,180,1.0991179943084717,2.059201240539551,34.6053466796875,1.0991179943084717
31,180,1.6060125827789307,2.2085256576538086,26.531429290771484,1.6060125827789307
32,180,1.4365639686584473,1.9699915051460266,34.101192474365234,1.4365639686584473
33,180,1.3913458585739136,1.9968379735946655,23.808115005493164,1.3913458585739136
34,180,1.434934139251709,2.2701117992401123,64.17877960205078,1.434934139251709
35,180,1.2781211137771606,2.0549875497817993,34.341033935546875,1.2781211137771606
36,180,0.9465058445930481,1.9563348889350891,39.09077835083008,0.9465058445930481
37,180,1.0060889720916748,2.0466198921203613,290.7721252441406,1.0060889720916748
38,180,1.2146886587142944,2.0560578107833862,88.49705505371094,1.2146886587142944
39,180,1.3373842239379883,1.9868761897087097,67.61904907226562,1.3373842239379883
