series_id,mean_abs_rel_change,ofv_reference_params,ofv_recalibrated,recalib_snw_dth,recalib_snw_att,recalib_snw_pmf,recalib_snw_amf,recalib_sl0_dth,recalib_sl0_pwp,recalib_sl0_fcy,recalib_sl0_bt0,recalib_urr_dth,recalib_lrr_dth,recalib_urr_wsr,recalib_urr_ulc,recalib_urr_tdh,recalib_urr_tdr,recalib_urr_ndr,recalib_urr_uct,recalib_lrr_dre,recalib_lrr_lct
21,0.0652099,0.09148434549570084,0.09267941117286682,0.0,-0.0056766705,0.4732611,0.046946112,98.84611,691.695,156.2252,3.0881035,2.9721146,0.0016701625,0.99920696,2.2210674e-05,37.03035,0.013751268,0.0067504356,2.3919966e-07,0.27232942,0.0058402116
22,0.06685682,0.09267574548721313,0.09223122894763947,0.0,-0.007384095,0.55591977,0.042103063,99.99331,690.2877,165.58994,2.9362645,1.7190996,0.8445238,0.99995387,0.17488618,115.740395,0.6669425,4.197706e-08,4.62934e-07,0.009020968,1.2068628e-08
23,0.06820491,0.09245385974645615,0.09231897443532944,0.0,-0.0063938447,0.54101956,0.042617653,99.93693,689.37787,163.807,2.9284194,1.7374611,0.8547074,0.9999113,0.17667587,110.79133,0.47410852,2.3855964e-07,2.3269113e-06,0.009022193,7.489513e-08
24,0.06511098,0.0924549251794815,0.0924232229590416,0.0,-0.005739019,0.5343408,0.044334542,99.82118,697.8176,164.6811,2.975135,1.702202,0.81961167,0.9997468,0.17462699,102.00488,0.4489579,1.1281081e-06,1.5425385e-06,0.009111419,2.3288621e-07
25,0.06532702,0.09326192736625671,0.09283329546451569,0.0,-0.005488228,0.54405975,0.044279605,99.977005,687.3682,162.49796,3.067335,1.5896814,0.97397137,0.9999129,0.17507261,65.15963,0.6076672,2.5149893e-07,4.7022957e-07,0.009213247,2.267725e-08
26,0.064603224,0.09318944811820984,0.09492969512939453,0.0,0.0862469,0.61187893,0.033591677,99.96881,699.57007,164.77153,2.926936,1.7177293,0.984935,0.9998754,0.18249619,117.32856,0.22466709,1.7143398e-08,6.223165e-07,0.008643158,3.1774718e-08
27,0.06647904,0.0895349457859993,0.0892690122127533,0.0,-0.0055006756,0.5376502,0.04525162,99.95085,645.9816,164.37317,2.8264434,1.4881091,1.0318257,0.99973494,0.17455235,135.90584,0.4057582,2.0153301e-07,1.411679e-07,0.009120854,2.6907635e-08
28,0.064415045,0.09399740397930145,0.09380172193050385,0.0,-0.005879269,0.5276519,0.044126153,99.998634,588.0031,163.7969,3.1024325,2.0144892,0.57294005,0.9998312,0.1745434,132.51349,0.74071753,4.5572602e-07,6.65169e-08,0.009253662,8.664797e-09
29,0.064743675,0.09144182503223419,0.0932406485080719,0.0,0.08534994,0.6330783,0.034135275,99.732216,697.44135,165.00204,2.8887117,1.9177155,0.7144408,0.99891806,0.1828105,135.42632,0.68224293,1.0380126e-06,2.039e-06,0.008793272,1.1534914e-07
30,0.064749494,0.09535546600818634,0.09526652097702026,0.0,-0.005473538,0.53030646,0.046149235,99.928604,382.50333,162.4772,2.9813004,1.2699759,1.3675224,0.99987227,0.1790044,190.69954,0.36595172,3.4122493e-08,1.2783191e-06,0.0091501465,5.8608034e-09
31,0.06493631,0.09086669236421585,0.09074452519416809,0.0,-0.0055157766,0.5159116,0.046682302,99.95474,699.1323,164.04259,2.9854739,1.7089177,0.8709996,0.99987596,0.17893955,161.68619,0.4031471,2.6100582e-07,9.220435e-08,0.009244598,3.104479e-08
32,0.06836141,0.09497219324111938,0.09485350549221039,0.0,-0.005540877,0.49436408,0.05368593,99.54503,432.91278,164.30888,2.9869988,0.76960707,1.6667025,0.9988785,0.18598442,19.8784,0.9666891,2.8464215e-06,7.5251482e-06,0.0092457365,2.3523455e-08
33,0.06686768,0.09262755513191223,0.09226766228675842,0.0,-0.0054968745,0.50159234,0.0504017,99.99736,696.9718,167.42973,2.8641136,1.8881596,0.72134316,0.999937,0.1800379,119.83222,0.86730236,3.626416e-08,2.152255e-07,0.009176815,2.1567866e-08
34,0.06547231,0.09438289701938629,0.0940716341137886,0.0,-0.005530487,0.5108508,0.049852975,99.96174,617.48016,166.1746,2.842577,1.6057549,0.9316773,0.99985117,0.1828106,121.47096,0.28165036,6.013171e-07,6.5811633e-07,0.00905649,1.790816e-08
35,0.06746062,0.09316612035036087,0.09313685446977615,0.0,-0.0059705866,0.53088063,0.04418672,99.95133,696.9828,165.3884,2.9380133,1.6960957,0.91071165,0.99963146,0.18055879,162.97617,0.2686602,7.9414815e-07,1.128878e-06,0.0091351895,1.2264648e-07
36,0.067646995,0.09221071749925613,0.09201370179653168,0.0,-0.0056241225,0.515862,0.04870908,99.865814,696.8401,167.27678,2.9903467,1.6391098,0.9305957,0.9998678,0.17765239,129.88838,0.8456703,1.0238583e-06,3.6757174e-07,0.009334977,3.655995e-08
37,0.06632567,0.0901980921626091,0.08999784290790558,0.0,-0.0059034773,0.5467764,0.042758092,99.98293,699.52936,164.46696,2.9526582,1.5357556,0.99656975,0.9999401,0.17463708,101.54541,0.4556912,5.657018e-07,1.1637256e-07,0.009260485,7.4030926e-10
38,0.06690048,0.09414580464363098,0.09403148293495178,0.0,-0.0060974313,0.5369582,0.043049444,99.993774,698.4439,164.69432,2.9227517,1.6383525,0.95259905,0.9994909,0.18109775,74.36588,0.6924343,3.5318257e-07,4.5568626e-07,0.009008747,2.5834261e-08
39,0.06870664,0.09221214801073074,0.09178836643695831,0.0,-0.0070937513,0.5284244,0.046723884,99.99167,691.3069,167.40991,2.792397,1.4511176,1.0958375,0.9997945,0.17713735,43.12718,0.36416963,7.898103e-07,3.0018923e-06,0.009126874,1.3273855e-07
40,0.06721678,0.09626252204179764,0.09556912630796432,0.0,-0.0055442504,0.486654,0.050246615,99.99346,339.66983,162.946,2.9734917,1.650356,0.9951454,0.99993837,0.18038753,94.551956,0.5287885,1.5946122e-06,9.137692e-08,0.009239901,1.6975688e-08
41,0.067239985,0.09220154583454132,0.09193000197410583,0.0,-0.005951357,0.53437066,0.04556551,99.98142,697.5676,166.43306,2.8847563,2.2874682,0.24930213,0.99993557,0.17879057,171.3354,0.3491697,1.8757491e-07,1.8675885e-07,0.009088836,1.7078358e-08
42,0.06389218,0.09277331084012985,0.0926768109202385,0.0,-0.0056309225,0.5366544,0.04481139,99.94063,679.6973,164.91678,2.8965824,1.731685,0.8430093,0.99996984,0.17659761,193.7723,0.7094622,4.5769988e-07,4.203934e-07,0.009171866,7.732433e-08
43,0.06563001,0.09241373836994171,0.0919036790728569,0.0,-0.0055091064,0.5152311,0.04410132,99.934395,699.977,162.3796,2.977631,1.5941057,0.9399418,0.9999729,0.1731144,42.73889,0.6114221,3.1684117e-08,3.6258947e-07,0.009194758,2.6206255e-08
44,0.0667927,0.09205842763185501,0.09196783602237701,0.0,-0.0054709073,0.52015084,0.048343446,99.981926,667.6343,166.0876,2.9783924,2.1094882,0.46033135,0.9990483,0.17696564,59.182144,0.4024536,1.1483664e-06,6.597127e-07,0.009301398,1.7704798e-08
45,0.06442524,0.09184147417545319,0.0916600301861763,0.0,-0.00714411,0.5319308,0.044535942,99.91979,694.38464,163.85757,2.902414,1.5427727,1.037962,0.99995816,0.17923477,36.868652,0.43195906,2.0372752e-07,3.808821e-08,0.0089815175,1.1518013e-08
46,0.065267295,0.09332466125488281,0.09218376874923706,0.0,-0.006663886,0.5518207,0.034373704,99.19969,391.53476,164.18436,2.9800951,2.6140633,0.062488638,0.9986546,0.009035384,47.02025,0.011163574,5.4561673e-07,1.8401184e-07,0.17584813,7.249856e-06
47,0.06551007,0.09142816811800003,0.0912565365433693,0.0,-0.0062847524,0.53686744,0.044450693,99.95243,689.8111,166.81787,2.991164,1.6899381,0.8581151,0.9998173,0.1771265,130.32045,0.51238126,3.2234544e-07,1.2794236e-06,0.009127094,1.1670325e-08
48,0.06501605,0.09252497553825378,0.0922498106956482,0.0,-0.0055208732,0.5509901,0.042594075,99.966225,697.96967,166.71542,2.9016454,1.8107959,0.78240114,0.99994797,0.17390326,141.03223,0.7277714,3.638095e-07,2.271149e-07,0.009163226,3.1381266e-08
49,0.06693854,0.09290216863155365,0.09282440692186356,0.0,-0.006390051,0.5314926,0.04320591,99.396965,689.17114,162.77986,2.9778664,2.1136742,0.462523,0.9987424,0.17898169,52.88756,0.68316704,4.346355e-08,4.795892e-06,0.00917771,6.719983e-07
50,0.06552003,0.09412731975317001,0.09381189942359924,0.0,-0.005668976,0.54500115,0.040461108,99.77652,695.8807,161.39534,3.0385802,1.9842347,0.65179217,0.99982893,0.17610645,122.28236,0.76105475,1.1186107e-07,5.2910804e-07,0.009111471,3.343698e-08
51,0.06952463,0.09107981622219086,0.09077265858650208,0.0,-0.0055397768,0.5220262,0.048272867,99.99458,437.5378,165.22173,2.8017132,1.5240413,1.0327569,0.9993396,0.1745975,165.13313,0.73566824,2.909655e-07,2.2120216e-06,0.009162574,1.4276773e-07
52,0.065396115,0.09274391084909439,0.09202495217323303,0.0,-0.005457176,0.48912537,0.04955146,99.93379,388.2487,164.40265,2.893127,1.5394245,0.9736057,0.9999845,0.1784747,118.44184,0.14837043,1.9828832e-07,3.3555462e-08,0.009222057,3.767589e-08
53,0.06512938,0.09319289773702621,0.09283054620027542,0.0,-0.0072126715,0.5331907,0.04085177,99.96209,699.93823,164.02612,2.887634,1.801003,0.8679941,0.9996871,0.17156938,156.79405,0.34618053,1.5611872e-07,5.070402e-07,0.008981705,3.112153e-08
54,0.06703896,0.09409181773662567,0.0945567637681961,0.0,-0.007139546,0.4587843,0.049558274,98.95818,595.5605,157.4951,3.1534338,3.1218772,0.80476844,0.99823976,1.9635313e-07,36.45088,0.0136414645,0.00686694,1.7931382e-07,8.105609e-05,0.057922963
55,0.0658016,0.09399785846471786,0.09440094232559204,0.0,-0.0059585823,0.46404102,0.048405617,99.13666,698.196,157.64201,3.0763483,3.1050591,7.6616707,0.99968106,5.484656e-07,37.428303,0.013807833,0.0067458167,3.2548826e-07,0.0004534129,0.59576225
56,0.06654292,0.09168057888746262,0.09164528548717499,0.0,-0.0055333776,0.52904665,0.044241395,99.9345,697.25946,165.1526,2.9233744,1.6957142,0.81287694,0.999843,0.17311268,72.30141,0.70088315,1.7984739e-08,2.5612957e-07,0.009259622,8.37005e-08
