series_id,mean_abs_rel_change,ofv_reference_params,ofv_recalibrated,recalib_snw_dth,recalib_snw_att,recalib_snw_pmf,recalib_snw_amf,recalib_sl0_dth,recalib_sl0_pwp,recalib_sl0_fcy,recalib_sl0_bt0,recalib_urr_dth,recalib_lrr_dth,recalib_urr_wsr,recalib_urr_ulc,recalib_urr_tdh,recalib_urr_tdr,recalib_urr_ndr,recalib_urr_uct,recalib_lrr_dre,recalib_lrr_lct
0,0.04040286,0.13892142474651337,1.6094859838485718,0.0,-0.6200888,2.283775,3.8073893,17.594233,233.77832,355.88306,0.46778747,0.6845062,1.832333,0.8614616,0.3525292,125.155106,0.24146068,0.053250395,0.41789114,0.1303012,0.094146065
1,0.038858276,0.14027820527553558,1.500049114227295,0.0,1.2266603,0.043271694,5.608985,48.080235,650.822,356.0231,3.7808669,3.4319468,14.708887,0.49002227,0.9251469,151.12025,0.34607172,0.16339107,0.05057549,0.026221406,0.00721976
2,0.04031094,0.136997789144516,1.519698143005371,0.0,2.3201535,0.612947,0.72081697,94.11227,110.55319,164.52167,4.148533,3.833569,2.8510828,0.24089846,0.1524014,125.15843,0.035975784,0.10361974,0.9425069,0.07565311,0.95900786
3,0.04062173,0.1390579491853714,1.485073208808899,0.0,0.4015588,0.88126034,6.1219115,41.355858,183.01308,280.76035,8.291391,0.85199857,4.091641,0.08959106,0.42661858,26.017076,0.8856804,0.042195044,0.74577886,0.050970968,0.0116082365
4,0.039057326,0.13717181980609894,1.60905122756958,0.0,-0.20581816,0.40065873,9.824693,27.29142,153.36609,214.97633,7.4995003,11.300965,12.680245,0.73092574,0.8688229,74.17065,0.5701951,0.04195138,0.26509368,0.012365601,0.08998861
