generation,n_evals,best_obj,max_obj,median_obj
1,544,1.8052704919994147,434.04794218391834,24.707192315996636
2,272,1.7278284977847174,236.13945192083057,7.93522803104176
3,272,1.649785895493153,285.41388764875427,11.693338733596873
4,272,1.6993548576920905,392.33853739641467,8.683990116842484
5,272,1.663151462566576,362.65140183988166,7.598416857344132
6,272,1.6507931717254434,318.4796619768438,6.7930361189831805
7,272,1.6726561256484924,305.4586706953271,5.8877602887405445
8,272,1.6484166166627505,306.4678271182404,4.554097953289187
9,272,1.4126610146877967,289.0035527404773,3.5947617317829197
10,272,1.5757293073343588,162.6568303740384,2.903640423791906
11,272,1.507821995412225,231.50768402285397,2.5070523060328167
12,272,1.411429390711517,146.5766145912326,2.4477833227517927
13,272,1.372991627171043,172.53314327425736,2.4540141623269567
14,272,1.4422265460870647,208.84090235944916,2.253185504621597
15,272,1.4944627908834829,190.38313452668183,2.017379680752099
16,272,1.3493260148222121,137.48365998326918,1.8940415988938977
17,272,0.9515366658228621,144.38306243478246,2.077993976282469
18,272,1.5022930202725289,198.81890927395168,2.3311773376315847
19,272,0.9746142644463212,225.88699020804296,2.426103498659771
20,272,1.1484011669888654,233.01044351185578,2.0162502058254885
21,272,1.2713217903609821,78.22283914702243,1.933323311316758
22,272,1.3030771619607115,272.3979937414424,2.3962028725995097
23,272,1.002864188374226,262.9965131186701,2.0250279447136603
24,272,1.3784236049516054,205.92581522776686,2.294666660992198
25,272,1.110799411961843,30.390643093389407,1.8373714168810347
26,272,0.945018220302667,175.8188622700499,1.824048824399223
27,272,0.9784815054158957,270.4176590522447,1.8959435082260074
28,272,0.6120920379965646,70.79433737315289,1.8842987389319816
29,272,0.8742864858673604,79.71498260961917,1.8375486000311794
30,272,0.9318331662334274,90.42225992746145,1.8861931727917767
31,272,0.7498204747743585,143.22466649119147,1.7742671758780393
32,272,0.8916975081696434,129.8009810289462,1.8203882672645801
33,272,0.735624286463116,376.9585020077984,1.9437800514259294
34,272,0.6914472198145278,71.03012296985125,1.7180173102624479
35,272,0.667568521530045,148.1358659352793,1.726625760913835
36,272,0.6594454152755748,94.54619302701634,1.7380965077664434
37,272,0.6993561043183832,254.21601371793943,1.7435654604274973
38,272,0.3902338072592736,80.20173785442509,1.7311677104788106
39,272,0.4662595252142385,66.14440045311413,1.7261528622169777
40,272,0.4771481516052385,65.00121150827593,1.754291560880476
41,272,0.5361021506924056,91.53636124371198,1.7052502970267034
42,272,0.6096315669576078,65.8389460405856,1.7310298883343933
43,272,0.43017657121472974,49.81925928207259,1.6380194687908731
44,272,0.47651398958876723,42.0440051312356,1.6936004256635908
45,272,0.4906872083619146,82.72016442657662,1.6715787172631722
46,272,0.4026784929771605,32.06611922545977,1.4226302749088133
47,272,0.4986150571634459,51.57281258487667,1.6183128510370595
48,272,0.3172204568334923,79.67816251654746,1.4176855393559298
49,272,0.31590939383445327,60.3826420244993,1.3275926243393705
50,272,0.3664774140511493,62.54572660270291,1.7233027362059976
51,272,0.3089702822246658,112.38718324535171,1.7195225337260045
52,272,0.34200562185411054,71.20790108817714,1.4794592249141347
53,272,0.4094184530203855,56.61130647410284,1.7228816708888965
54,272,0.24802718181465522,40.67635403991411,1.276086556126455
55,272,0.3346887515541026,54.48065477915988,1.5128940233304053
56,272,0.2516933172535928,56.244962920063266,0.8720227816261643
57,272,0.20927655268952483,41.65440627342128,0.8157730633174006
58,272,0.24018654331383704,37.95808881623057,0.6823636157047592
59,272,0.17452308140163886,27.30076480536071,0.6040778331791707
60,272,0.18666264190169302,27.910183302295042,0.5749657810860707
61,272,0.17597605895967394,38.77381451166583,0.5402793378430604
62,272,0.17240899685333622,51.79281241461269,0.8324977984393704
63,272,0.14389040783862894,37.90590860429007,0.6195403739854954
64,272,0.190253387214816,44.08888383972565,0.6994526204465613
65,272,0.15145356818453526,27.533057208848962,0.5289763360699242
66,272,0.1736381653644269,29.33058057068726,0.6370842575034708
67,272,0.17652454432864229,18.280354176679257,0.5428830582939321
68,272,0.14826738614986257,30.70255442969602,0.5414296525531868
69,272,0.16979440855253458,23.05088770590094,0.5567893338319883
70,272,0.14964087520000668,30.758172671496038,0.5025815510512384
71,272,0.146102697879678,12.67501816863187,0.4813775992297942
72,272,0.1610941950964383,30.503912987337717,0.5497434455272312
73,272,0.16184018563094815,46.211856788085505,0.5445507613921337
74,272,0.17021783822425895,20.3807511351643,0.5997305878792614
75,272,0.14436477260980185,17.376841500475592,0.4544256886983122
76,272,0.145535410681906,25.374492331703532,0.4519303005257669
77,272,0.14925489920149526,26.4789469509831,0.5190378605093533
78,272,0.14297989783322862,17.681467796900368,0.3616745563132157
79,272,0.14932805416311024,15.2775380575173,0.4577853195273731
80,272,0.13778191536786033,8.067949869460392,0.2565088054949537
